"baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season"
"Sura","Double Chocolate Marshmallow Brownies","7th","Strawberry & White Chocolate Celebration Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","12"
"Dave","Thai Basil Chicken Pasties","5th","Chocolate, Mango and Lime Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","12"
"Hermine","Moroccan Tagine Pasties","2nd","Lime Confit and Lemon Meringue Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","12"
"Laura","Proper Tasty Pasties","6th","Kent Garden Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","12"
"Linda","Spicy Indian Pasties","8th","Gypsy tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","12"
"Lottie","Toad-In-The-Hole-Less Pasties","4th","Apple Tree Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","12"
"Marc","Cornish Fish Pasties","7th","Posh Apple & Blackberry Pie",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","12"
"Mark","Aloo Gobi Pasties","3rd","Mes-SAGE in a Bottle",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","12"
"Peter","Kedgeree Pasties","1st","Blackberry & Lemon Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","12"
"Dave","Chicken Shaped Katsu Curry Buns","3rd","Matcha Shiba Inu Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","12"
"Hermine","Chicken Nikuman Panda Buns","4th","Strawberry Cherry Blossom Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","12"
"Laura","Piggy Pork Belly Buns","7th","Upside Down Pineapple Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","12"
"Lottie","Cheeseburger Steamed Buns","2nd","Into the Japanese Woods",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","12"
"Marc","'Hmmmm Dhal' Steamed Buns","6th","Hamish the Dog Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","12"
"Mark","Burger Buns","5th","'Avo Baby'",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","12"
"Peter","Lamb Steamed Buns","1st","Dizzy the Shuttlecock",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","12"
"Dave","Novel Quiches","6th","'Tiramisu'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","12"
"Hermine","Classic Quiches","1st","Holiday Ice Cream Cake",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","12"
"Laura","Pea & Pizza Quiches","4th","'Death by Chocolate'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","12"
"Lottie","English Breakfast & Summer Salad Quiches","5th","'80's Mix Tape'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","12"
"Marc","Cornish Quiches","3rd","Retro Ice Cream Parlour",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","12"
"Peter","Thai Curry & Salmon Quiches","2nd","'Christmas Cake Surprise'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","12"
"Dave","'Celebration of Citrus' Cheesecakes","5th","Newquay Beach Scene",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","12"
"Hermine","Passion Fruit Cheesecakes","3rd","Chocolate and Raspberry Mousse Jelly Cake",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","12"
"Laura","Passion Fruit Cheesecakes","1st","'Flower Power' Koi Jelly Art Cake",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","12"
"Marc","New York Style Vanilla & Mascarpone Cheesecakes","2nd","Apple Jelly with Chocolate and Strawberry Mousse",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","12"
"Peter","Lime & Ginger Cheesecakes","4th","Snow Globe Jelly Cake",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","12"
"Dave","Honey Tequila, Passion Fruit & Mango Savarins","3rd","Celebration of Chocolate Cube Cake",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ","12"
"Hermine","Creme ét Abricot Baba au Rhum","2nd","'The Best of Hermine' Cube Cakes",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ","12"
"Laura","Poached Pineapple, Kiwi and Passion Fruit Rum Babas","4th","Black Forest Cube Cakes",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ","12"
"Peter","Strawberry & Elderflower Babas","1st","Chocolate, Raspberry & Pistachio Cube Cakes",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ","12"
"Dave","'Caramel Latte' Custard Slice","1st","Tower to Redemption",10,"8 Custard Slices ","8 Walnut Whirls ","Colossal Dessert Tower ","12"
"Laura","Yuzu Custard Slice","3rd","Rainbow Dessert Tower",10,"8 Custard Slices ","8 Walnut Whirls ","Colossal Dessert Tower ","12"
"Peter","Cranachan Custard Slice","2nd","Bonkers Bake Off Bubble Cake",10,"8 Custard Slices ","8 Walnut Whirls ","Colossal Dessert Tower ","12"
